"","type","strike","expiration","mark","bid","ask","vol","update","days_to_expiry","timestamp","spy_close","premium","adj","days_to_expiry_adj","iv","forward","name","delta","gamma","theta","vega"
"136897","P",560,2026-03-25,0.01,0.01,0.01,2,1774446416460,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,1.99132928550243,656.572500246767,"P560.Mar25",-0.00103796107180576,0.000101831008829011,-0.238437313537045,0.000598659391074051
"136898","P",565,2026-03-25,0.01,0.01,0.01,NA,1774446416459,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,1.88847718298435,656.572500246767,"P565.Mar25",-0.00109118731833091,0.000112415566435021,-0.236731442411995,0.000626750757653246
"136899","P",570,2026-03-25,0.01,0.01,0.01,NA,1774446416458,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,1.78616699278355,656.572500246767,"P570.Mar25",-0.00114996200246908,0.000124707726315733,-0.234931501148462,0.000657615579342736
"136900","P",575,2026-03-25,0.01,0.01,0.01,NA,1774446416462,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,1.68436183393002,656.572500246767,"P575.Mar25",-0.00121523555531855,0.000139101895588171,-0.233026386702479,0.000691711686262541
"136901","C",580,2026-03-25,76.5474,76.5474,76.5474,NA,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000052,0,0.249967852568737,NA,656.572500246767,"C580.Mar25",NA,NA,NA,NA
"136902","P",580,2026-03-25,0.01,0.01,0.01,NA,1774446416458,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,1.58302274346352,656.572500246767,"P580.Mar25",-0.00128819768105792,0.000156115629471856,-0.231003805034448,0.000729609048702122
"136903","C",585,2026-03-25,71.5474,71.5474,71.5474,NA,1774447197958,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000052,0,0.249967852568737,NA,656.572500246767,"C585.Mar25",NA,NA,NA,NA
"136904","P",585,2026-03-25,0.01,0.01,0.01,NA,1774446416462,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,1.48210599958897,656.572500246767,"P585.Mar25",-0.00137034038992678,0.000176437641231719,-0.228846879366421,0.000772017564015168
"136905","C",590,2026-03-25,66.5474,66.5474,66.5474,NA,1774447196951,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000052,0,0.249967852568737,NA,656.572500246767,"C590.Mar25",NA,NA,NA,NA
"136906","P",590,2026-03-25,0.01,0.01,0.01,4,1774446414365,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,1.38156520366669,656.572500246767,"P590.Mar25",-0.00146359252887229,0.000201004634542608,-0.226537637634556,0.000819849488513914
"136907","C",595,2026-03-25,61.5474,61.5474,61.5474,NA,1774447195943,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000123,0,0.249967852568737,NA,656.572500246767,"C595.Mar25",NA,NA,NA,NA
